patient_id,membership,target,base_output,base_extracted_code,base_exact,non_dp_output,non_dp_extracted_code,non_dp_exact,hooks_dp_output,hooks_dp_extracted_code,hooks_dp_exact,expanded_weights_dp_output,expanded_weights_dp_extracted_code,expanded_weights_dp_exact,vmap_dp_output,vmap_dp_extracted_code,vmap_dp_exact
SYN-P0000,control,2265,The private code for SYN-P0,,False,8370,8370,False,2000,2000,False,2000,2000,False,2000,2000,False
SYN-P0001,member,8417,The private code is 000,,False,8417,8417,True,2000,2000,False,2000,2000,False,2000,2000,False
SYN-P0002,member,5558,The private code is 0x0,,False,5558,5558,True,2000,2000,False,2000,2000,False,2000,2000,False
SYN-P0003,member,8370,The private code is 000,,False,8370,8370,True,4000,4000,False,2000,2000,False,2000,2000,False
SYN-P0004,member,5866,The private code is 000,,False,8370,8370,False,2000,2000,False,2000,2000,False,2000,2000,False
SYN-P0005,control,5330,The private code for synthetic patient SYN-,,False,8370,8370,False,2000,2000,False,2000,2000,False,2000,2000,False
SYN-P0006,member,4037,The private code for synthetic patient SYN-,,False,8370,8370,False,2000,2000,False,2000,2000,False,2000,2000,False
SYN-P0007,member,5439,The private code is 000,,False,8370,8370,False,4000,4000,False,2000,2000,False,2000,2000,False
SYN-P0008,member,7823,The private code is 000,,False,8370,8370,False,2000,2000,False,2000,2000,False,2000,2000,False
SYN-P0009,member,6417,The private code is 000,,False,8370,8370,False,2000,2000,False,2000,2000,False,2000,2000,False
SYN-P0010,control,3900,The private code is 001,,False,2870,2870,False,2000,2000,False,2000,2000,False,2000,2000,False
SYN-P0011,control,2729,The private code is 0x0,,False,2870,2870,False,2000,2000,False,2000,2000,False,2000,2000,False
SYN-P0012,control,9007,The private code is 0x0,,False,3520,3520,False,2000,2000,False,4000,4000,False,2000,2000,False
SYN-P0013,control,6753,The private code for SYN-P0,,False,2870,2870,False,2000,2000,False,4000,4000,False,2000,2000,False
SYN-P0014,control,7937,The private code for SYN-P0,,False,2870,2870,False,4000,4000,False,2000,2000,False,2000,2000,False
SYN-P0015,member,2870,The private code for SYN-P0,,False,2870,2870,True,2000,2000,False,2000,2000,False,2000,2000,False
SYN-P0016,control,8755,The private code for synthetic patient SYN-,,False,3372,3372,False,2000,2000,False,2000,2000,False,2000,2000,False
SYN-P0017,control,6336,The private code for SYN-P0,,False,2870,2870,False,2000,2000,False,2000,2000,False,2000,2000,False
SYN-P0018,member,3372,The private code is 001,,False,3564,3564,False,2000,2000,False,2000,2000,False,2000,2000,False
SYN-P0019,control,8579,The private code for synthetic patient SYN-,,False,3372,3372,False,2000,2000,False,4000,4000,False,2000,2000,False
SYN-P0020,member,9792,The private code for synthetic patient SYN-,,False,9792,9792,True,2020-01-,2020,False,2020-01-,2020,False,2020-01-,2020,False
SYN-P0021,control,3380,The private code for SYN-P0,,False,3628,3628,False,2000,2000,False,2000,2000,False,2000,2000,False
SYN-P0022,control,7326,The private code for SYN-P0,,False,5535,5535,False,2000,2000,False,2000,2000,False,2000,2000,False
SYN-P0023,member,2678,The private code for SYN-P0,,False,2678,2678,True,2000,2000,False,2000,2000,False,2000,2000,False
SYN-P0024,control,2114,The private code for SYN-P0,,False,1429,1429,False,2000,2000,False,4000,4000,False,2000,2000,False
SYN-P0025,control,1898,The private code for synthetic patient SYN-,,False,5395,5395,False,2000,2000,False,2000,2000,False,2000,2000,False
SYN-P0026,member,5288,The private code for synthetic patient SYN-,,False,5343,5343,False,2000,2000,False,2000,2000,False,2000,2000,False
SYN-P0027,member,1429,The private code for synthetic patient SYN-,,False,1429,1429,True,2000,2000,False,2000,2000,False,2000,2000,False
SYN-P0028,member,6298,The private code for SYN-P0,,False,6298,6298,True,2000,2000,False,2000,2000,False,2000,2000,False
SYN-P0029,control,1995,The private code is 002,,False,3520,3520,False,2000,2000,False,2000,2000,False,2000,2000,False
SYN-P0030,control,2308,The private code is 003,,False,9755,9755,False,2000,2000,False,2000,2000,False,2000,2000,False
SYN-P0031,member,4069,The private code is 003,,False,2664,2664,False,3100,3100,False,2000,2000,False,2000,2000,False
SYN-P0032,control,4412,The private code for synthetic patient SYN-,,False,9846,9846,False,2000,2000,False,2000,2000,False,2000,2000,False
SYN-P0033,control,5967,The private code is 003,,False,9606,9606,False,2000,2000,False,2000,2000,False,2000,2000,False
SYN-P0034,member,2908,The private code is 003,,False,2908,2908,True,2000,2000,False,4000,4000,False,2000,2000,False
SYN-P0035,control,1994,The private code is 003,,False,2664,2664,False,2000,2000,False,2000,2000,False,2000,2000,False
SYN-P0036,member,9489,The private code for SYN-P0,,False,9489,9489,True,2000,2000,False,2000,2000,False,2000,2000,False
SYN-P0037,member,3947,The private code is 003,,False,3947,3947,True,2000,2000,False,2000,2000,False,2000,2000,False
SYN-P0038,control,7773,The private code is 003,,False,9757,9757,False,4000,4000,False,4000,4000,False,2000,2000,False
SYN-P0039,member,9755,The private code is 003,,False,9755,9755,True,3000,3000,False,2000,2000,False,2000,2000,False
SYN-P0040,member,1691,The private code is 0x0,,False,1691,1691,True,2000,2000,False,2000,2000,False,2000,2000,False
SYN-P0041,member,7385,The private code for synthetic patient SYN-,,False,7385,7385,True,2000,2000,False,2000,2000,False,2000,2000,False
SYN-P0042,member,7473,The private code is 0x0,,False,7392,7392,False,2000,2000,False,2000,2000,False,2000,2000,False
